,Planning weight
Basic land,0.08826419153565737
Basic green land,0.053675005725857615
Park green land,0.036443474841133715
Public facility land,0.07197056832061112
Transportation station land,0.052471503803773016
Educational land,0.03152817938402034
Historical site protection area,0.07164852870575295
Agricultural and forestry land,0.09324265840877966
Industrial land,0.015346983103687825
Agricultural land,0.033459185838462836
Commercial land,0.018595611314437113
Social welfare land,0.07585477516627155
Water area,0.05465416252388917
Sports land,0.09174599939310585
Cultural land,0.058492280825511535
Medical land,0.05963252722193284
Government land,0.089206624214062
Residential land,0.0037677396730536805
